x,x**2,x**3,x**4
1,1,1,1
2,4,8,16
3,9,27,81
4,16,64,256
5,25,125,625
6,36,216,1296
7,49,343,2401
8,64,512,4096
9,81,729,6561
10,100,1000,10000
11,121,1331,14641
12,144,1728,20736
13,169,2197,28561
14,196,2744,38416
15,225,3375,50625
16,256,4096,65536
17,289,4913,83521
18,324,5832,104976
19,361,6859,130321
20,400,8000,160000
21,441,9261,194481
22,484,10648,234256
23,529,12167,279841
24,576,13824,331776
25,625,15625,390625
26,676,17576,456976
27,729,19683,531441
28,784,21952,614656
29,841,24389,707281
30,900,27000,810000
31,961,29791,923521
32,1024,32768,1048576
33,1089,35937,1185921
34,1156,39304,1336336
35,1225,42875,1500625
36,1296,46656,1679616
37,1369,50653,1874161
38,1444,54872,2085136
39,1521,59319,2313441
40,1600,64000,2560000
41,1681,68921,2825761
42,1764,74088,3111696
43,1849,79507,3418801
44,1936,85184,3748096
45,2025,91125,4100625
46,2116,97336,4477456
47,2209,103823,4879681
48,2304,110592,5308416
49,2401,117649,5764801
50,2500,125000,6250000
51,2601,132651,6765201
52,2704,140608,7311616
53,2809,148877,7890481
54,2916,157464,8503056
55,3025,166375,9150625
56,3136,175616,9834496
57,3249,185193,10556001
58,3364,195112,11316496
59,3481,205379,12117361
60,3600,216000,12960000
61,3721,226981,13845841
62,3844,238328,14776336
63,3969,250047,15752961
64,4096,262144,16777216
65,4225,274625,17850625
66,4356,287496,18974736
67,4489,300763,20151121
68,4624,314432,21381376
69,4761,328509,22667121
70,4900,343000,24010000
71,5041,357911,25411681
72,5184,373248,26873856
73,5329,389017,28398241
74,5476,405224,29986576
75,5625,421875,31640625
76,5776,438976,33362176
77,5929,456533,35153041
78,6084,474552,37015056
79,6241,493039,38950081
80,6400,512000,40960000
81,6561,531441,43046721
82,6724,551368,45212176
83,6889,571787,47458321
84,7056,592704,49787136
85,7225,614125,52200625
86,7396,636056,54700816
87,7569,658503,57289761
88,7744,681472,59969536
89,7921,704969,62742241
90,8100,729000,65610000
91,8281,753571,68574961
92,8464,778688,71639296
93,8649,804357,74805201
94,8836,830584,78074896
95,9025,857375,81450625
96,9216,884736,84934656
97,9409,912673,88529281
98,9604,941192,92236816
99,9801,970299,96059601
100,10000,1000000,100000000
